app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,steam_deck
2374980,Boundary - Deluxe Cosmetic Bundle Founders Pack,13/04/2023,TRUE,FALSE,FALSE,Positive,88,27,0,TRUE
1595350,Kamu's Offering,25/05/2021,TRUE,FALSE,FALSE,Positive,81,37,0,TRUE
1841020,Journey to the Heart of Gaia,12/01/2022,TRUE,FALSE,FALSE,Positive,100,10,9.99,TRUE
909850,killer7: Digital Art Booklet,15/11/2018,TRUE,FALSE,FALSE,Mixed,50,10,2.99,TRUE
201275,Total War Saga: FALL OF THE SAMURAI – The Tsu Faction Pack,22/03/2012,TRUE,TRUE,TRUE,Mixed,53,13,29.99,TRUE
2299890,CosmoOdyssey 2: Comeback to origin,17/02/2023,TRUE,FALSE,FALSE,Positive,95,23,2.99,TRUE
1707430,Farm Manager 2021 - Brewing & Winemaking DLC,03/09/2021,TRUE,FALSE,FALSE,Positive,100,16,0,TRUE
1829870,RetroArch - UAE,24/11/2021,TRUE,TRUE,TRUE,Positive,80,10,0,TRUE
22300,Fallout 3,28/10/2008,TRUE,FALSE,FALSE,Mostly Positive,79,14891,9.99,TRUE
506610,Five Nights at Freddy's: Sister Location,07/10/2016,TRUE,FALSE,FALSE,Very Positive,92,8982,7.99,TRUE
766870,theHunter: Call of the Wild™ - Weapon Pack 1,12/04/2018,TRUE,FALSE,FALSE,Very Positive,84,304,1.39,TRUE
1238860,Battlefield 4™,11/06/2020,TRUE,FALSE,FALSE,Very Positive,87,43867,39.99,TRUE
1443051,Forza Horizon 4: 2017 Ferrari GTC4Lusso,09/03/2021,TRUE,FALSE,FALSE,Positive,90,10,2.99,TRUE
2199210,Planet Zoo: Grasslands Animal Pack,13/12/2022,TRUE,FALSE,FALSE,Very Positive,96,51,6.99,TRUE
754790,Field of Glory II: Legions Triumphant,08/03/2018,TRUE,FALSE,FALSE,Positive,100,10,5.99,TRUE
2163800,Draft Day Sports: Pro Football 2023,19/10/2022,TRUE,FALSE,FALSE,Mixed,60,10,12.49,TRUE
1918860,The Upturned Soundtrack,23/03/2022,FALSE,FALSE,FALSE,Positive,100,12,2.54,TRUE
2192850,One Shot Challenge,15/12/2022,TRUE,FALSE,FALSE,Positive,95,20,3.99,TRUE
2445960,Warhammer: Vermintide 2 - Karak Azgaraz,13/06/2023,TRUE,FALSE,FALSE,Mixed,69,172,0,TRUE
